SOP,UniversityRating,GREScore,TOEFLScore,LOR,CGPA,Research,ChanceofAdmit
4.5,4,337,118,4.5,9.65,1,0.92
4,4,324,107,4.5,8.87,1,0.76
3,3,316,104,3.5,8,1,0.72
3.5,3,322,110,2.5,8.67,1,0.8
2,2,314,103,3,8.21,0,0.65
4.5,5,330,115,3,9.34,1,0.9
3,3,321,109,4,8.2,1,0.75
3,2,308,101,4,7.9,0,0.68
2,1,302,102,1.5,8,0,0.5
3.5,3,323,108,3,8.6,0,0.45
3.5,3,325,106,4,8.4,1,0.52
4,4,327,111,4.5,9,1,0.84
4,4,328,112,4.5,9.1,1,0.78
4,3,307,109,3,8,1,0.62
3.5,3,311,104,2,8.2,1,0.61
3.5,3,314,105,2.5,8.3,0,0.54
4,3,317,107,3,8.7,0,0.66
4,3,319,106,3,8,1,0.65
4,3,318,110,3,8.8,0,0.63
3.5,3,303,102,3,8.5,0,0.62
3,3,312,107,2,7.9,1,0.64
3,4,325,114,2,8.4,0,0.7
5,5,328,116,5,9.5,1,0.94
5,5,334,119,4.5,9.7,1,0.95
4,5,336,119,3.5,9.8,1,0.97
4.5,5,340,120,4.5,9.6,1,0.94
4.5,5,322,109,3.5,8.8,0,0.76
1.5,2,298,98,2.5,7.5,1,0.44
2,1,295,93,2,7.2,0,0.46
1.5,2,310,99,2,7.3,0,0.54
3,2,300,97,3,8.1,1,0.65
4,3,327,103,4,8.3,1,0.74
3,4,338,118,4.5,9.4,1,0.91
4,5,340,114,4,9.6,1,0.9
4,5,331,112,5,9.8,1,0.94
5,5,320,110,5,9.2,1,0.88
4,2,299,106,4,8.4,0,0.64
1,1,300,105,2,7.8,0,0.58
3,1,304,105,1.5,7.5,0,0.52
4,2,307,108,3.5,7.7,0,0.48
3.5,3,308,110,3,8,1,0.46
2.5,2,316,105,2.5,8.2,1,0.49
2.5,2,313,107,2,8.5,1,0.53
4.5,4,332,117,4,9.1,0,0.87
4.5,5,326,113,4,9.4,1,0.91
5,5,322,110,4,9.1,1,0.88
4,5,329,114,5,9.3,1,0.86
4.5,5,339,119,4,9.7,0,0.89
3.5,3,321,110,5,8.85,1,0.82
3,4,327,111,4,8.4,1,0.78
2.5,3,313,98,4.5,8.3,1,0.76
1.5,2,312,100,3.5,7.9,1,0.56
4,4,334,116,3,8,1,0.78
4,4,324,112,2.5,8.1,1,0.72
3,3,322,110,3.5,8,0,0.7
3,3,320,103,3,7.7,0,0.64
2,3,316,102,3,7.4,0,0.64
4,2,298,99,2,7.6,0,0.46
3,1,300,99,2,6.8,1,0.36
2,2,311,104,2,8.3,0,0.42
3,2,309,100,3,8.1,0,0.48
4,3,307,101,3,8.2,0,0.47
3,2,304,105,3,8.2,1,0.54
4,2,315,107,3,8.5,1,0.56
3,3,325,111,3.5,8.7,0,0.52
3.5,4,325,112,3.5,8.92,0,0.55
3,3,327,114,3,9.02,0,0.61
3.5,2,316,107,3.5,8.64,1,0.57
3.5,3,318,109,4,9.22,1,0.68
4.5,4,328,115,4,9.16,1,0.78
5,5,332,118,5,9.64,1,0.94
5,5,336,112,5,9.76,1,0.96
5,5,321,111,5,9.45,1,0.93
4.5,4,314,108,4,9.04,1,0.84
3,3,314,106,5,8.9,0,0.74
2,2,329,114,4,8.56,1,0.72
3,3,327,112,3,8.72,1,0.74
3,2,301,99,2,8.22,0,0.64
3,2,296,95,2,7.54,1,0.44
1.5,1,294,93,2,7.36,0,0.46
2,3,312,105,3,8.02,1,0.5
5,4,340,120,5,9.5,1,0.96
5,5,320,110,4.5,9.22,1,0.92
4,5,322,115,4.5,9.36,1,0.92
4.5,5,340,115,4.5,9.45,1,0.94
4.5,4,319,103,3.5,8.66,0,0.76
4.5,3,315,106,3.5,8.42,0,0.72
3.5,2,317,107,3,8.28,0,0.66
4.5,3,314,108,3.5,8.14,0,0.64
4.5,4,316,109,3.5,8.76,1,0.74
4,2,318,106,4,7.92,1,0.64
5,3,299,97,3.5,7.66,0,0.38
4,2,298,98,3,8.03,0,0.34
3,2,301,97,3,7.88,1,0.44
2,3,303,99,2.5,7.66,0,0.36
1.5,4,304,100,2.5,7.84,0,0.42
3,2,306,100,3,8,0,0.48
4,3,331,120,4,8.96,1,0.86
5,4,332,119,4.5,9.24,1,0.9
4,3,323,113,4,8.88,1,0.79
3.5,3,322,107,3.5,8.46,1,0.71
2.5,2,312,105,3,8.12,0,0.64
4,2,314,106,3.5,8.25,0,0.62
4.5,2,317,104,4,8.47,0,0.57
3.5,3,326,112,3,9.05,1,0.74
4,3,316,110,4.5,8.78,1,0.69
4.5,4,329,111,4.5,9.18,1,0.87
3.5,4,338,117,4.5,9.46,1,0.91
5,5,331,116,5,9.38,1,0.93
5,5,304,103,4,8.64,0,0.68
3,5,305,108,3,8.48,0,0.61
4,4,321,109,4,8.68,1,0.69
3.5,3,301,107,3.5,8.34,1,0.62
4,2,320,110,3.5,8.56,0,0.72
3.5,3,311,105,3,8.45,1,0.59
4.5,4,310,106,4.5,9.04,1,0.66
4,3,299,102,3.5,8.62,0,0.56
2,4,290,104,2.5,7.46,0,0.45
3,2,296,99,3.5,7.28,0,0.47
3,5,327,104,3.5,8.84,1,0.71
5,5,335,117,5,9.56,1,0.94
4.5,5,334,119,4.5,9.48,1,0.94
1.5,4,310,106,2.5,8.36,0,0.57
3.5,3,308,108,3.5,8.22,0,0.61
2.5,4,301,106,3,8.47,0,0.57
2,3,300,100,3,8.66,1,0.64
4,3,323,113,3,9.32,1,0.85
2.5,3,319,112,2,8.71,1,0.78
3.5,3,326,112,3,9.1,1,0.84
5,5,333,118,5,9.35,1,0.92
4,5,339,114,4.5,9.76,1,0.96
5,5,303,105,4.5,8.65,0,0.77
3.5,5,309,105,3.5,8.56,0,0.71
4,5,323,112,4.5,8.78,0,0.79
4,5,333,113,4,9.28,1,0.89
3.5,4,314,109,4,8.77,1,0.82
5,3,312,103,4,8.45,0,0.76
1.5,2,316,100,3,8.16,1,0.71
4.5,2,326,116,3,9.08,1,0.8
3.5,1,318,109,3.5,9.12,0,0.78
4,2,329,110,3,9.15,1,0.84
4.5,2,332,118,3.5,9.36,1,0.9
4,5,331,115,3.5,9.44,1,0.92
4.5,4,340,120,4,9.92,1,0.97
3,2,325,112,3.5,8.96,1,0.8
2,2,320,113,2.5,8.64,1,0.81
2,3,315,105,2.5,8.48,0,0.75
3,3,326,114,3,9.11,1,0.83
4,4,339,116,3.5,9.8,1,0.96
3.5,2,311,106,3,8.26,1,0.79
4,4,334,114,4,9.43,1,0.93
5,5,332,116,5,9.28,1,0.94
5,5,321,112,5,9.06,1,0.86
3,3,324,105,4,8.75,0,0.79
3,3,326,108,3.5,8.89,0,0.8
3,3,312,109,3,8.69,0,0.77
2,3,315,105,2.5,8.34,0,0.7
2,2,309,104,2.5,8.26,0,0.65
2,2,306,106,2.5,8.14,0,0.61
1.5,1,297,100,2,7.9,0,0.52
1.5,1,315,103,2,7.86,0,0.57
1.5,1,298,99,3,7.46,0,0.53
3,3,318,109,3,8.5,0,0.67
3.5,3,317,105,3,8.56,0,0.68
4.5,4,329,111,4,9.01,1,0.81
4.5,5,322,110,4,8.97,0,0.78
3.5,3,302,102,5,8.33,0,0.65
2,3,313,102,3,8.27,0,0.64
2,2,293,97,4,7.8,1,0.64
2.5,2,311,99,3,7.98,0,0.65
2.5,2,312,101,3.5,8.04,1,0.68
4,5,334,117,4.5,9.07,1,0.89
4,4,322,110,5,9.13,1,0.86
4,4,323,113,4.5,9.23,1,0.89
4,4,321,111,4,8.97,1,0.87
4.5,4,320,111,3.5,8.87,1,0.85
4.5,4,329,119,4.5,9.16,1,0.9
3.5,3,319,110,3.5,9.04,0,0.82
2.5,3,309,108,3,8.12,0,0.72
3,3,307,102,3,8.27,0,0.73
3.5,3,300,104,3,8.16,0,0.71
2.5,2,305,107,2.5,8.42,0,0.71
3,2,299,100,3.5,7.88,0,0.68
4,3,314,110,4,8.8,0,0.75
2.5,2,316,106,4,8.32,0,0.72
4.5,4,327,113,4.5,9.11,1,0.89
3.5,3,317,107,3,8.68,1,0.84
4.5,5,335,118,3.5,9.44,1,0.93
4.5,5,331,115,3.5,9.36,1,0.93
5,5,324,112,5,9.08,1,0.88
4.5,5,324,111,4,9.16,1,0.9
4,5,323,110,5,8.98,1,0.87
4.5,5,322,114,4,8.94,1,0.86
4.5,5,336,118,5,9.53,1,0.94
3.5,3,316,109,3,8.76,0,0.77
3,2,307,107,3.5,8.52,1,0.78
3,2,306,105,2.5,8.26,0,0.73
3.5,2,310,106,2.5,8.33,0,0.73
4.5,3,311,104,4.5,8.43,0,0.7
4,3,313,107,4.5,8.69,0,0.72
2.5,3,317,103,3,8.54,1,0.73
3.5,2,315,110,3,8.46,1,0.72
4.5,5,340,120,4.5,9.91,1,0.97
4,5,334,120,5,9.87,1,0.97
3.5,3,298,105,4,8.54,0,0.69
2.5,2,295,99,3,7.65,0,0.57
3.5,2,315,99,3,7.89,0,0.63
3.5,3,310,102,4,8.02,1,0.66
3,2,305,106,3,8.16,0,0.64
3.5,3,301,104,4,8.12,1,0.68
4.5,4,325,108,4,9.06,1,0.79
5,4,328,110,4,9.14,1,0.82
5,4,338,120,5,9.66,1,0.95
5,5,333,119,4.5,9.78,1,0.96
4.5,4,331,117,5,9.42,1,0.94
5,5,330,116,4.5,9.36,1,0.93
4.5,4,322,112,4.5,9.26,1,0.91
4,4,321,109,4,9.13,1,0.85
3,4,324,110,3.5,8.97,1,0.84
3.5,3,312,104,3.5,8.42,0,0.74
4,3,313,103,4,8.75,0,0.76
3.5,3,316,110,4,8.56,0,0.75
4.5,4,324,113,4,8.79,0,0.76
3,2,308,109,4,8.45,0,0.71
3,2,305,105,2,8.23,0,0.67
2.5,2,296,99,2.5,8.03,0,0.61
3.5,2,306,110,4,8.45,0,0.63
3.5,2,312,110,3,8.53,0,0.64
4,3,318,112,3.5,8.67,0,0.71
3,4,324,111,3,9.01,1,0.82
4,3,313,104,4.5,8.65,0,0.73
3.5,3,319,106,2.5,8.33,1,0.74
2.5,2,312,107,3.5,8.27,0,0.69
2.5,2,304,100,3.5,8.07,0,0.64
5,5,330,113,4,9.31,1,0.91
4.5,5,326,111,4,9.23,1,0.88
4,4,325,112,4.5,9.17,1,0.85
4.5,5,329,114,5,9.19,1,0.86
2,3,310,104,3.5,8.37,0,0.7
1.5,1,299,100,2,7.89,0,0.59
2.5,1,296,101,3,7.68,0,0.6
2.5,2,317,103,2,8.15,0,0.65
3.5,3,324,115,3,8.76,1,0.7
3.5,3,325,114,3,9.04,1,0.76
2.5,2,314,107,4,8.56,0,0.63
4,4,328,110,2.5,9.02,1,0.81
3,3,316,105,3.5,8.73,0,0.72
2.5,2,311,104,3.5,8.48,0,0.71
3.5,3,324,110,4,8.87,1,0.8
3.5,3,321,111,4,8.83,1,0.77
3,3,320,104,2.5,8.57,1,0.74
2.5,2,316,99,3,9,0,0.7
2.5,2,318,100,3.5,8.54,1,0.71
4.5,4,335,115,4.5,9.68,1,0.93
4,4,321,114,5,9.12,0,0.85
4,4,307,110,4.5,8.37,0,0.79
4,3,309,99,4,8.56,0,0.76
4,3,324,100,5,8.64,1,0.78
5,4,326,102,5,8.76,1,0.77
5,4,331,119,4.5,9.34,1,0.9
5,5,327,108,3.5,9.13,1,0.87
3.5,3,312,104,4,8.09,0,0.71
2.5,2,308,103,4,8.36,1,0.7
2.5,3,324,111,1.5,8.79,1,0.7
3,2,325,110,2.5,8.76,1,0.75
2.5,3,313,102,2.5,8.68,0,0.71
2,2,312,105,2.5,8.45,0,0.72
3,3,314,107,3.5,8.17,1,0.73
4.5,4,327,113,5,9.14,0,0.83
4.5,4,308,108,5,8.34,0,0.77
2.5,2,306,105,3,8.22,1,0.72
1.5,2,299,96,2,7.86,0,0.54
1.5,1,294,95,1.5,7.64,0,0.49
1,1,312,99,1.5,8.01,1,0.52
2,1,315,100,2.5,7.95,0,0.58
3.5,3,322,110,3,8.96,1,0.78
5,5,329,113,4.5,9.45,1,0.89
2.5,2,320,101,3,8.62,0,0.7
3,2,308,103,3.5,8.49,0,0.66
3,2,304,102,4,8.73,0,0.67
4.5,3,311,102,4,8.64,1,0.68
4,3,317,110,4.5,9.11,1,0.8
4,3,312,106,3.5,8.79,1,0.81
2.5,3,321,111,3,8.9,1,0.8
5,4,340,112,4.5,9.66,1,0.94
4,5,331,116,4,9.26,1,0.93
4.5,5,336,118,4,9.19,1,0.92
5,5,324,114,4.5,9.08,1,0.89
5,4,314,104,5,9.02,0,0.82
4,3,313,109,3.5,9,0,0.79
2.5,2,307,105,3,7.65,0,0.58
1.5,2,300,102,2,7.87,0,0.56
1,2,302,99,2,7.97,0,0.56
3.5,1,312,98,3,8.18,1,0.64
2.5,2,316,101,2,8.32,1,0.61
3,2,317,100,2.5,8.57,0,0.68
3.5,3,310,107,3.5,8.67,0,0.76
4,3,320,120,4.5,9.11,0,0.86
4.5,3,330,114,4.5,9.24,1,0.9
3,3,305,112,3.5,8.65,0,0.71
2.5,2,309,106,2.5,8,0,0.62
2.5,2,319,108,3,8.76,0,0.66
3,2,322,105,3,8.45,1,0.65
3.5,3,323,107,3.5,8.55,1,0.73
2.5,2,313,106,2,8.43,0,0.62
3.5,3,321,109,3.5,8.8,1,0.74
4,3,323,110,3.5,9.1,1,0.79
4,4,325,112,4,9,1,0.8
3.5,3,312,108,3,8.53,0,0.69
3.5,4,308,110,3,8.6,0,0.7
3,3,320,104,3.5,8.74,1,0.76
4.5,4,328,108,4,9.18,1,0.84
4.5,4,311,107,4.5,9,1,0.78
3.5,3,301,100,3,8.04,0,0.67
3,2,305,105,4,8.13,0,0.66
2.5,2,308,104,3,8.07,0,0.65
1.5,2,298,101,2,7.86,0,0.54
1,1,300,99,2.5,8.01,0,0.58
2.5,3,324,111,2,8.8,1,0.79
3.5,4,327,113,3,8.69,1,0.8
4,3,317,106,3.5,8.5,1,0.75
4,3,323,104,4,8.44,1,0.73
2.5,2,314,107,4,8.27,0,0.72
2,2,305,102,2.5,8.18,0,0.62
3,3,315,104,2.5,8.33,0,0.67
3.5,3,326,116,4,9.14,1,0.81
2,3,299,100,2,8.02,0,0.63
2.5,2,295,101,2,7.86,0,0.69
4,4,324,112,3.5,8.77,1,0.8
2.5,2,297,96,1.5,7.89,0,0.43
3.5,3,327,113,3,8.66,1,0.8
3,2,311,105,2,8.12,1,0.73
3.5,3,308,106,2.5,8.21,1,0.75
3,3,319,108,3.5,8.54,1,0.71
4.5,4,312,107,4,8.65,1,0.73
4,4,325,111,4.5,9.11,1,0.83
3,3,319,110,2.5,8.79,0,0.72
5,5,332,118,5,9.47,1,0.94
4,5,323,108,4,8.74,1,0.81
3.5,5,324,107,4,8.66,1,0.81
3,3,312,107,3,8.46,1,0.75
3.5,3,326,110,3.5,8.76,1,0.79
3,3,308,106,3,8.24,0,0.58
2.5,2,305,103,3.5,8.13,0,0.59
1.5,2,295,96,2,7.34,0,0.47
1.5,1,316,98,2,7.43,0,0.49
1.5,2,304,97,2,7.64,0,0.47
1,1,299,94,1,7.34,0,0.42
2,1,302,99,2,7.25,0,0.57
2.5,3,313,101,3,8.04,0,0.62
3,3,318,107,3.5,8.27,1,0.74
3.5,4,325,110,4,8.67,1,0.73
3,2,303,100,3.5,8.06,1,0.64
3.5,3,300,102,2.5,8.17,0,0.63
2.5,2,297,98,3,7.67,0,0.59
2,2,317,106,3.5,8.12,0,0.73
3.5,3,327,109,4,8.77,1,0.79
3.5,2,301,104,3.5,7.89,1,0.68
2.5,2,314,105,2,7.64,0,0.7
2,2,321,107,1.5,8.44,0,0.81
4,3,322,110,5,8.64,1,0.85
4,4,334,116,3.5,9.54,1,0.93
4.5,5,338,115,5,9.23,1,0.91
2.5,2,306,103,3,8.36,0,0.69
3.5,3,313,102,4,8.9,1,0.77
4.5,4,330,114,3,9.17,1,0.86
3.5,3,320,104,4.5,8.34,1,0.74
1,1,311,98,2.5,7.46,0,0.57
2,1,298,92,2,7.88,0,0.51
2,1,301,98,3,8.03,1,0.67
2.5,2,310,103,2.5,8.24,0,0.72
3.5,3,324,110,3,9.22,1,0.89
4.5,4,336,119,4,9.62,1,0.95
3,3,321,109,3,8.54,1,0.79
2,2,315,105,2.5,7.65,0,0.39
2,2,304,101,2.5,7.66,0,0.38
2.5,2,297,96,2,7.43,0,0.34
1.5,1,290,100,2,7.56,0,0.47
2,1,303,98,2.5,7.65,0,0.56
2.5,1,311,99,3,8.43,1,0.71
3.5,3,322,104,4,8.84,1,0.78
3,3,319,105,3.5,8.67,1,0.73
4.5,4,324,110,4,9.15,1,0.82
3,3,300,100,3.5,8.26,0,0.62
5,4,340,113,5,9.74,1,0.96
5,5,335,117,5,9.82,1,0.96
2.5,2,302,101,3.5,7.96,0,0.46
2,2,307,105,3.5,8.1,0,0.53
1.5,2,296,97,2,7.8,0,0.49
3.5,3,320,108,4,8.44,1,0.76
2,2,314,102,2.5,8.24,0,0.64
2,3,318,106,3,8.65,0,0.71
4,4,326,112,3.5,9.12,1,0.84
3,2,317,104,3,8.76,0,0.77
4.5,4,329,111,4,9.23,1,0.89
3.5,3,324,110,3.5,9.04,1,0.82
3,3,325,107,3.5,9.11,1,0.84
5,4,330,116,4.5,9.45,1,0.91
3.5,3,312,103,4,8.78,0,0.67
5,4,333,117,4,9.66,1,0.95
